spp_short,species,bark1,bark2,ribbons
A.bakeri,Angophora bakeri,subfibrous - rough,subfibrous - rough / tellellated,n
A.costatasubsp.costata,Angophora costata subsp. costata,smooth,smooth,n
A.costatasubsp.leiocarpa,Angophora costata subsp. leiocarpa ,smooth,smooth,n
A.floribunda,Angophora floribunda,subfibrous - rough,subfibrous - rough / tellellated,n
A.robur,Angophora robur,subfibrous - rough,subfibrous - rough / tellellated,n
A.subvelutina,Angophora subvelutina,subfibrous - rough,subfibrous - rough / tellellated,n
A.woodsiana,Angophora woodsiana,subfibrous - rough,subfibrous - rough / tellellated,n
C.citriodorasubsp.variegata,Corymbia citriodora subsp. variegata,smooth,smooth,n
C.clarksoniana,Corymbia clarksoniana,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.eximia,Corymbia eximia,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.gummifera,Corymbia gummifera,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.henryi,Corymbia henryi,smooth,smooth,n
C.intermedia,Corymbia intermedia,subfibrous - tessellated,subfibrous - rough / tellellated,n
C.maculata,Corymbia maculata,smooth,smooth,n
E.acaciiformis,Eucalyptus acaciiformis,subfibrous - stringy,subfibrous - box / peppermint,s
E.acmenioides,Eucalyptus acmenioides,subfibrous - stringy,stringybark,n
E.agglomerata,Eucalyptus agglomerata,stringybark,stringybark,n
E.albens,Eucalyptus albens,subfibrous - box,subfibrous - box / peppermint,s
E.amplifolia,Eucalyptus amplifolia,smooth,smooth,n
E.andrewsiisubsp.andrewsii,Eucalyptus andrewsii subsp. andrewsii,subfibrous - peppermint,subfibrous - box / peppermint,y
E.andrewsiisubsp.campanulata,Eucalyptus andrewsii subsp. campanulata,subfibrous - peppermint,subfibrous - box / peppermint,y
E.angophoroides,Eucalyptus angophoroides,subfibrous - box,subfibrous - box / peppermint,s
E.approximanssubsp.codonocarpa,Eucalyptus approximans subsp. codonocarpa ,smooth,smooth,y
E.baileyana,Eucalyptus baileyana,stringybark,stringybark,n
E.beyeri,Eucalyptus beyeri,ironbark,ironbark,n
E.blakelyi,Eucalyptus blakelyi,smooth,smooth,n
E.blaxlandii,Eucalyptus blaxlandii,stringybark,stringybark,s
E.bosistoana,Eucalyptus bosistoana,subfibrous - box,subfibrous - box / peppermint,y
E.botryoides,Eucalyptus botryoides,subfibrous - rough,subfibrous - rough / tellellated,s
E.bridgesiana,Eucalyptus bridgesiana,subfibrous - rough,subfibrous - rough / tellellated,s
E.burgessiana,Eucalyptus burgessiana,smooth,smooth,s
E.caliginosa,Eucalyptus caliginosa,stringybark,stringybark,n
E.camaldulensisvar.camaldulensis,Eucalyptus camaldulensis var. camaldulensis,smooth,smooth,s
E.cameronii,Eucalyptus cameronii,stringybark,stringybark,n
E.canaliculata,Eucalyptus canaliculata,smooth,smooth,n
E.capitellata,Eucalyptus capitellata,stringybark,stringybark,n
E.carnea,Eucalyptus carnea,subfibrous - stringy,stringybark,n
E.chloroclada,Eucalyptus chloroclada,smooth - short stocking,smooth with stocking,n
E.cinerea,Eucalyptus cinerea,stringybark,stringybark,s
E.conica,Eucalyptus conica,subfibrous - box,subfibrous - box / peppermint,s
E.consideniana,Eucalyptus consideniana,subfibrous - peppermint,subfibrous - box / peppermint,y
E.crebra,Eucalyptus crebra,ironbark,ironbark,n
E.cypellocarpa,Eucalyptus cypellocarpa,smooth,smooth,y
E.dalrympleanasubsp.dalrympleana,Eucalyptus dalrympleana subsp. dalrympleana,smooth - short stocking,smooth with stocking,y
E.dalrympleanasubsp.heptantha,Eucalyptus dalrympleana subsp. heptantha,smooth - short stocking,smooth with stocking,y
E.dealbata,Eucalyptus dealbata,smooth,smooth,n
E.deanei,Eucalyptus deanei,smooth - short stocking,smooth with stocking,s
E.delagatensissubsp.delegatensis,Eucalyptus delagatensis subsp. delegatensis,subfibrous - stringy,stringybark,y
E.dives,Eucalyptus dives,subfibrous - peppermint,subfibrous - box / peppermint,y
E.dorrigoensis,Eucalyptus dorrigoensis,smooth,smooth,y
E.dunnii,Eucalyptus dunnii,smooth - short stocking,smooth with stocking,y
E.elata,Eucalyptus elata,subfibrous - peppermint,subfibrous - box / peppermint,y
E.eugenioides,Eucalyptus eugenioides,stringybark,stringybark,n
E.fastigata,Eucalyptus fastigata,stringybark,stringybark,y
E.fibrosasubsp.fibrosa,Eucalyptus fibrosa subsp. fibrosa,ironbark,ironbark,n
E.fibrosasubsp.nubila,Eucalyptus fibrosa subsp. nubila,ironbark,ironbark,n
E.fraxinoides,Eucalyptus fraxinoides,smooth - short stocking,smooth with stocking,y
E.globoidea,Eucalyptus globoidea,stringybark,stringybark,n
E.globulussubsp.bicostata,Eucalyptus globulus subsp. bicostata,smooth - short stocking,smooth with stocking,y
E.globulussubsp.maindenii,Eucalyptus globulus subsp. maindenii,smooth - short stocking,smooth with stocking,y
E.goniocalyx,Eucalyptus goniocalyx,subfibrous - box,subfibrous - box / peppermint,s
E.grandis,Eucalyptus grandis,smooth - short stocking,smooth with stocking,s
E.haemastoma,Eucalyptus haemastoma,smooth,smooth,s
E.laevopinea,Eucalyptus laevopinea,stringybark,stringybark,s
E.largiflorens,Eucalyptus largiflorens,subfibrous - box,subfibrous - box / peppermint,n
E.longifolia,Eucalyptus longifolia,subfibrous - box,subfibrous - box / peppermint,s
E.macrorhyncha,Eucalyptus macrorhyncha,stringybark,stringybark,n
E.mannifera,Eucalyptus mannifera,smooth,smooth,s
E.melanophloia,Eucalyptus melanophloia,ironbark,ironbark,n
E.melliodora,Eucalyptus melliodora,subfibrous - rough,subfibrous - rough / tellellated,s
E.microcarpa,Eucalyptus microcarpa,subfibrous - box,subfibrous - box / peppermint,s
E.microcorys,Eucalyptus microcorys,stringybark,stringybark,n
E.moluccana,Eucalyptus moluccana,subfibrous - box,subfibrous - box / peppermint,y
E.muelleriana,Eucalyptus muelleriana,stringybark,stringybark,n
E.nitens,Eucalyptus nitens,smooth - short stocking,smooth with stocking,y
E.nobilis,Eucalyptus nobilis,smooth - short stocking,smooth with stocking,y
E.nortonii,Eucalyptus nortonii,subfibrous - rough,subfibrous - rough / tellellated,s
E.nova-anglica,Eucalyptus nova-anglica,subfibrous - rough,subfibrous - rough / tellellated,s
E.obliqua,Eucalyptus obliqua,stringybark,stringybark,s
E.oreades,Eucalyptus oreades,smooth - short stocking,smooth with stocking,y
E.paniculatasubsp.paniculata,Eucalyptus paniculata subsp. paniculata,ironbark,ironbark,n
E.parramattensissubsp.decadens,Eucalyptus parramattensis subsp. decadens,smooth,smooth,n
E.parramattensissubsp.parramattensis,Eucalyptus parramattensis subsp. parramattensis,smooth,smooth,n
E.pauciflorasubsp.debeuzevillei,Eucalyptus pauciflora subsp. debeuzevillei,smooth,smooth,s
E.pauciflorasubsp.niphophila,Eucalyptus pauciflora subsp. niphophila,smooth,smooth,s
E.pauciflorasubsp.pauciflora,Eucalyptus pauciflora subsp. pauciflora,smooth,smooth,s
E.pilligaensis,Eucalyptus pilligaensis,subfibrous - box,subfibrous - box / peppermint,s
E.pilularis,Eucalyptus pilularis,half bark,subfibrous - box / peppermint,y
E.piperita,Eucalyptus piperita,subfibrous - peppermint,subfibrous - box / peppermint,y
E.planchoniana,Eucalyptus planchoniana,subfibrous - stringy,stringybark,s
E.polyanthemossubsp.polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,smooth - short stocking,smooth with stocking,n
E.polyanthemossubsp.vestita,Eucalyptus polyanthemos subsp. vestita,subfibrous - box,subfibrous - box / peppermint,n
E.populneasubsp.bimbil,Eucalyptus populnea subsp. bimbil,subfibrous - box,subfibrous - box / peppermint,s
E.prava,Eucalyptus prava,smooth,smooth,n
E.propinqua,Eucalyptus propinqua,smooth,smooth,n
E.punctata,Eucalyptus punctata,smooth,smooth,n
E.pyrocarpa,Eucalyptus pyrocarpa,half bark,subfibrous - box / peppermint,y
E.racemosasubsp.racemosa,Eucalyptus racemosa subsp. racemosa,smooth,smooth,s
E.racemosasubsp.rossii,Eucalyptus racemosa subsp. rossii,smooth,smooth,s
E.radiatasubsp.radiata,Eucalyptus radiata subsp. radiata,subfibrous - peppermint,subfibrous - box / peppermint,y
E.radiatasubsp.robersonii,Eucalyptus radiata subsp. robersonii,subfibrous - peppermint,subfibrous - box / peppermint,y
E.radiatasubsp.sejuncta,Eucalyptus radiata subsp. sejuncta,subfibrous - peppermint,subfibrous - box / peppermint,y
E.resinifera,Eucalyptus resinifera,stringybark,stringybark,n
E.robusta,Eucalyptus robusta,subfibrous - rough,subfibrous - rough / tellellated,n
E.rubidasubsp.rubida,Eucalyptus rubida subsp. rubida,smooth - short stocking,smooth with stocking,y
E.saligna,Eucalyptus saligna,smooth - short stocking,smooth with stocking,s
E.salignaXbotryoides,Eucalyptus saligna X botryoides,smooth - stocking,smooth with stocking,s
E.sciassubsp.scias,Eucalyptus scias subsp. scias,subfibrous - stringy,stringybark,n
E.siderophloia,Eucalyptus siderophloia,ironbark,ironbark,n
E.sideroxylon,Eucalyptus sideroxylon,ironbark,ironbark,n
E.sieberi,Eucalyptus sieberi,subfibrous - rough,subfibrous - rough / tellellated,y
E.smithii,Eucalyptus smithii,half bark,subfibrous - rough / tellellated,y
E.sparsifolia,Eucalyptus sparsifolia,stringybark,stringybark,n
E.stellulata,Eucalyptus stellulata,half bark,subfibrous - rough / tellellated,y
E.tereticornis,Eucalyptus tereticornis,smooth,smooth,n
E.tindaliae,Eucalyptus tindaliae,stringybark,stringybark,n
E.tricarpa,Eucalyptus tricarpa,ironbark,ironbark,n
E.umbra,Eucalyptus umbra,subfibrous - stringy,stringybark,n
E.viminalis,Eucalyptus viminalis,smooth - short stocking,smooth with stocking,y
E.williamsiana,Eucalyptus williamsiana,stringybark,stringybark,n
E.youmanii,Eucalyptus youmanii,stringybark,stringybark,n
S.glomulifera,Syncarpia glomulifera,stringybark,stringybark,n
